PropellantDoesNotIgnite PropellantSnuffsOut Blowby_projectile Blowby_breech NotEnoughPressure TooMuchPressure FailToInitiatePower InsufficientBatterySupply MotorDamage InadequateTorque GEUCommandNotRecieved CapacitorNotCharged CommandSentEarly CommandSentLate IgnitePropellant SealGas GeneratePressure InitiateInflightPower ModifyAttitude ArmWarheadFuze SendFireCommand Launch BallisticFlight TerminalEffects System red_system System red_system
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 7 0 3 0 0 0 0 0 0.327534246575342 0.47334637964775
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 2 7 1 0 0 0 0 0 0 0.302837573385519 0.479628180039139
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 2 0 1 3 2 0 0 0 0 0 0.318160469667319 0.62880626223092
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 2 0 1 0 3 0 0 0 0 0 0.343894324853229 0.629882583170255
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 2 1 2 3 0 0 0 0 0 0.324520547945205 0.631291585127202
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 3 5 3 0 0 0 0 0 0.304207436399217 0.56174168297456
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 3 2 4 1 1 0 0 0 0 0 0.319549902152642 0.535303326810176
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 6 3 3 0 0 0 0 0 0 0.318356164383562 0.563816046966732
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 2 2 1 5 0 0 0 0 0 0.321585127201566 0.593757338551859
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 2 3 1 2 0 0 0 0 0 0.329041095890411 0.562700587084149
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 4 0 2 3 1 0 0 0 0 0 0.307142857142857 0.592759295499022
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 5 1 1 0 0 0 0 0 0.308434442270059 0.512289628180039
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 4 1 4 0 0 0 0 0 0.318590998043053 0.529608610567515
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 4 1 0 0 0 0 0 0 0.316086105675147 0.537827788649706
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 3 0 4 0 0 0 0 0 0 0.32986301369863 0.672446183953033
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 6 2 0 3 0 0 0 0 0 0.351702544031311 0.592172211350293
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 3 3 2 0 0 0 0 0 0 0.313268101761252 0.560019569471624
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 1 1 5 1 1 0 0 0 0 0 0.30692759295499 0.515107632093934
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 8 0 2 0 0 0 0 0 0.33825831702544 0.46293542074364
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 3 2 4 2 0 0 0 0 0 0.317495107632094 0.593248532289628
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 1 4 0 6 0 0 0 0 0 0.32559686888454 0.533483365949119
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 5 3 3 0 0 0 0 0 0 0.315968688845401 0.561037181996086
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 1 1 2 2 3 0 0 0 0 0 0.315244618395303 0.592230919765167
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 3 0 6 2 0 0 0 0 0 0.306673189823875 0.671956947162427
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 1 2 5 1 0 0 0 0 0 0.311800391389432 0.592602739726027
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 3 2 1 2 0 0 0 0 0 0 0.322328767123288 0.629608610567515
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 4 5 0 0 0 0 0 0 0 0.330978473581213 0.516066536203522
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 1 3 0 0 0 0 0 0.326066536203522 0.558806262230919
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 1 5 0 2 2 0 0 0 0 0 0.341428571428572 0.671839530332681
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 4 1 2 6 0 0 0 0 0 0.327827788649707 0.628767123287672
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 3 0 1 0 2 0 0 0 0 0 0.339569471624266 0.628238747553816
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 0 1 5 3 0 0 0 0 0 0.314951076320939 0.628649706457926
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 3 1 3 1 0 0 0 0 0 0.314892367906067 0.629393346379648
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 2 1 0 3 4 0 0 0 0 0 0.330332681017613 0.67146771037182
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 3 3 3 1 0 0 0 0 0 0.285753424657534 0.55600782778865
